name,color,model,price,Màn hình:,Hệ điều hành:,Camera sau:,Camera trước:,Chip:,RAM:,Dung lượng lưu trữ:,SIM:,"Pin, Sạc:",Danh bạ:,Thẻ nhớ:,Radio FM:,Jack cắm tai nghe:,Pin:
Điện thoại OPPO A77s,Xanh ngọc,,6.290.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 50 MP & Phụ 2 MP,8 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A96,Đen,,6.190.000₫ ,"IPS LCD, 6.59"", Full HD+",Android 11,Chính 50 MP & Phụ 2 MP,16 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A96,Hồng,,6.190.000₫ ,"IPS LCD, 6.59"", Full HD+",Android 11,Chính 50 MP & Phụ 2 MP,16 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại Samsung Galaxy A33 5G 6GB,Đen,,5.990.000₫ ,"Super AMOLED, 6.4"", Full HD+",Android 12,"Chính 48 MP & Phụ 8 MP, 5 MP, 2 MP",13 MP,Exynos 1280,6 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A33 5G 6GB,Xanh Dương,,5.990.000₫ ,"Super AMOLED, 6.4"", Full HD+",Android 12,"Chính 48 MP & Phụ 8 MP, 5 MP, 2 MP",13 MP,Exynos 1280,6 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Vivo Y35,Đen,,5.990.000₫ *,"IPS LCD, 6.58"", Full HD+",Android 12,"Chính 50 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 44 W",,,,,
Điện thoại Vivo Y35,Vàng,,5.990.000₫ *,"IPS LCD, 6.58"", Full HD+",Android 12,"Chính 50 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 44 W",,,,,
Điện thoại OPPO A95,,,5.490.000₫ ,"AMOLED, 6.43"", Full HD+",Android 11,"Chính 48 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 662,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại Vivo Y55,Trắng,,5.340.000₫ ,"AMOLED, 6.44"", Full HD+",Android 12,"Chính 50 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 44 W",,,,,
Điện thoại Vivo Y55,Đen,,5.340.000₫ ,"AMOLED, 6.44"", Full HD+",Android 12,"Chính 50 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 44 W",,,,,
